Name,Type,GenderMix,Area,Zone,PostalCode,Latitude,Longitude,PlacestakenuptillPhase2B
Admiralty Primary School,Government,Mixed,Woodlands,North,738907,1.4427,103.7995,130
Ahmad Ibrahim Primary School,Government,Mixed,Yishun,North,768643,1.4333,103.8321,51
Ai Tong School,"Government-aided, SAP",Mixed,Bishan,South,579646,1.3603,103.8321,302
Alexandra Primary School,Government,Mixed,Bukit Merah,South,159016,1.2913,103.8233,82
Anchor Green Primary School,Government,Mixed,Sengkang,North,544969,1.3913,103.8863,101
Anderson Primary School,Government,Mixed,Ang Mo Kio,North,569785,1.3838,103.8414,166
Anglo-Chinese School (Junior),Government-aided,Boys,Central,South,227988,1.3098,103.8409,211
Anglo-Chinese School (Primary),Government-aided,Boys,Novena,South,309918,1.3182,103.8357,190
Angsana Primary School,Government,Mixed,Tampines,East,529366,1.3482,103.9512,29
Ang Mo Kio Primary School,Government,Mixed,Ang Mo Kio,South,569920,1.3697,103.8395,57
Balestier Hill Primary School,Government,Mixed,Novena,South,329927,1.3265,103.8445,0
Beacon Primary School,Government,Mixed,Bukit Panjang,West,679944,1.3843,103.7731,86
Bedok Green Primary School,Government,Mixed,Bedok,East,469317,1.3241,103.9372,98
Bendemeer Primary School,Government,Mixed,Kallang,South,339948,1.3215,103.8657,80
Blangah Rise Primary School,Government,Mixed,Bukit Merah,South,109100,1.2762,103.8092,14
Boon Lay Garden Primary School,Government,Mixed,Jurong West,West,649930,1.3433,103.7135,84
Bukit Panjang Primary School,Government,Mixed,Bukit Panjang,West,679676,1.3739,103.7693,165
Bukit Timah Primary School,Government,Mixed,Bukit Timah,West,598112,1.3371,103.7668,58
Bukit View Primary School,Government,Mixed,Bukit Batok,West,659634,1.3464,103.7538,73
Canberra Primary School,Government,Mixed,Sembawang,North,757714,1.4514,103.8148,164
Canossa Convent Primary School,Government-aided,Girls,Geylang,East,387621,1.3261,103.8828,13
Cantonment Primary School,Government,Mixed,Bukit Merah,South,88256,1.2751,103.8403,71
Casuarina Primary School,Government,Mixed,Pasir Ris,East,518935,1.3722,103.9574,104
Catholic High School (Primary),"Government-aided, SAP",Boys,Bishan,South,579767,1.3556,103.8451,216
Cedar Primary School,Government,Mixed,Toa Payoh,South,349700,1.335,103.8755,45
Changkat Primary School,Government,Mixed,Tampines,East,529896,1.3406,103.9517,59
CHIJ (Katong) Primary,Government-aided,Girls,Bedok,East,424821,1.3069,103.9108,107
CHIJ (Kellock),Government-aided,Girls,Bukit Merah,South,149059,1.3011,103.8009,89
CHIJ Our Lady of Good Counsel,Government-aided,Girls,Serangoon,South,558979,1.3578,103.8634,52
CHIJ Our Lady of the Nativity,Government-aided,Girls,Hougang,South,534793,1.3728,103.8982,140
CHIJ Our Lady Queen of Peace,Government-aided,Girls,Bukit Panjang,West,679287,1.367,103.7675,61
CHIJ Primary (Toa Payoh),Government-aided,Girls,Toa Payoh,South,319765,1.3334,103.8433,172
CHIJ St. Nicholas Girls' School,"Government-aided, SAP",Girls,Ang Mo Kio,South,569405,1.3752,103.8344,186
Chongfu School,Government-aided,Mixed,Yishun,North,768959,1.4387,103.8401,226
Chongzheng Primary School,Government,Mixed,Tampines,East,529392,1.351,103.9517,107
Chua Chu Kang Primary School,Government,Mixed,Chua Chu Kang,West,689905,1.3773,103.7418,118
Clementi Primary School,Government,Mixed,Clementi,West,129903,1.3163,103.7635,109
Compassvale Primary School,Government,Mixed,Sengkang,North,545091,1.3951,103.8981,117
Concord Primary School,Government,Mixed,Chua Chu Kang,West,689814,1.3806,103.7366,126
Coral Primary School,Government,Mixed,Pasir Ris,East,518902,1.3678,103.9507,0
Corporation Primary School,Government,Mixed,Jurong West,West,648347,1.3507,103.7076,79
Da Qiao Primary School,Government,Mixed,Ang Mo Kio,South,569185,1.3718,103.8584,0
Damai Primary School,Government,Mixed,Bedok,East,479225,1.3361,103.9202,51
Dazhong Primary School,Government,Mixed,Bukit Batok,West,659441,1.3589,103.749,73
De La Salle School,Government-aided,Mixed,Chua Chu Kang,West,689285,1.394,103.7439,132
East Coast Primary School,Government,Mixed,Bedok,East,469031,1.3293,103.9189,0
East Spring Primary School,Government,Mixed,Tampines,East,529258,1.3537,103.9619,71
East View Primary School,Government,Mixed,Tampines,East,528907,1.3467,103.9391,0
Edgefield Primary School,Government,Mixed,Punggol,North,828869,1.3999,103.9083,102
Elias Park Primary School,Government,Mixed,Pasir Ris,East,518866,1.3745,103.9458,66
Endeavour Primary School,Government,Mixed,Sembawang,North,757521,1.4549,103.8174,95
Eunos Primary School,Government,Mixed,Geylang,East,419529,1.3242,103.9054,41
Evergreen Primary School,Government,Mixed,Woodlands,North,738908,1.4442,103.7943,101
Fairfield Methodist School (Primary),Government-aided,Mixed,Dover,South,139648,1.3002,103.7847,236
Farrer Park Primary School,Government,Mixed,Kallang,South,217567,1.3119,103.8511,29
Fengshan Primary School,Government,Mixed,Bedok,East,469680,1.3309,103.9319,91
Fernvale Primary School,Government,Mixed,Sengkang,North,797701,1.3898,103.8735,102
First Toa Payoh Primary School,Government,Mixed,Toa Payoh,South,319252,1.3399,103.8562,18
Frontier Primary School,Government,Mixed,Jurong West,West,648200,1.3371,103.6989,130
Fuchun Primary School,Government,Mixed,Woodlands,North,739063,1.4293,103.7781,100
Fuhua Primary School,Government,Mixed,Jurong East,West,609647,1.3359,103.7367,96
Gan Eng Seng Primary School,Government,Mixed,Bukit Merah,South,158901,1.2867,103.8158,74
Geylang Methodist School (Primary),Government-aided,Mixed,Geylang,East,389706,1.3177,103.8844,120
Gongshang Primary School,Government,Mixed,Tampines,East,529176,1.3574,103.9502,168
Greendale Primary School,Government,Mixed,Punggol,North,828848,1.3967,103.912,91
Greenridge Primary School,Government,Mixed,Bukit Panjang,West,677744,1.3865,103.7676,98
Greenwood Primary School,Government,Mixed,Woodlands,North,737942,1.4404,103.8042,87
Guangyang Primary School,Government,Mixed,Bishan,South,579806,1.3454,103.8506,23
Haig Girls' School,Government,Girls,Geylang,East,427072,1.3112,103.9036,77
Holy Innocents' Primary School,"Government-aided, SAP",Mixed,Hougang,South,569869,1.376,103.8573,224
Henry Park Primary School,Government,Mixed,Bukit Timah,West,278790,1.3176,103.784,253
Hong Wen School,"Government-aided, SAP",Mixed,Kallang,South,327829,1.3212,103.8572,157
Horizon Primary School,Government,Mixed,Punggol,North,828819,1.3993,103.9138,121
Hougang Primary School,Government,Mixed,Hougang,North,534238,1.3781,103.8815,127
Huamin Primary School,Government,Mixed,Yishun,North,768857,1.4267,103.8432,87
Innova Primary School,Government,Mixed,Woodlands,North,737888,1.4292,103.7898,118
Jiemin Primary School,Government,Mixed,Yishun,North,768515,1.4272,103.8299,103
Jing Shan Primary School,Government,Mixed,Ang Mo Kio,South,569228,1.3722,103.8524,86
Junyuan Primary School,Government,Mixed,Tampines,East,528906,1.3483,103.9393,121
Jurong Primary School,Government,Mixed,Jurong East,West,609476,1.348,103.7328,122
Jurong West Primary School,Government,Mixed,Jurong West,West,648368,1.3388,103.6985,135
Juying Primary School,Government,Mixed,Jurong West,West,649037,1.3397,103.6871,25
Keming Primary School,Government,Mixed,Bukit Batok,West,659762,1.345,103.757,121
Kheng Cheng School,Government-aided,Mixed,Toa Payoh,South,319580,1.3374,103.8481,91
Kong Hwa School,"Government-aided, SAP",Mixed,Geylang,East,399772,1.3115,103.8877,214
Kranji Primary School,Government,Mixed,Chua Chu Kang,West,689189,1.3941,103.748,36
Kuo Chuan Presbyterian Primary School,Government-aided,Mixed,Bishan,South,579793,1.349,103.8543,149
Lakeside Primary School,Government,Mixed,Jurong West,West,618310,1.3383,103.7171,101
Lianhua Primary School,Government,Mixed,Bukit Batok,West,659243,1.3532,103.7543,40
Loyang Primary School,Government,Mixed,Pasir Ris,East,519419,1.3705,103.9564,0
MacPherson Primary School,Government,Mixed,Geylang,East,387724,1.3254,103.8818,0
Maha Bodhi School,"Government-aided, SAP",Mixed,Geylang,East,408931,1.329,103.9014,259
Maris Stella High School,"Government-aided, SAP",Boys,Toa Payoh,South,368051,1.3401,103.8781,194
Marsiling Primary School,Government,Mixed,Woodlands,North,738927,1.4345,103.7725,59
Marymount Convent School,Government-aided,Girls,Toa Payoh,South,297754,1.3407,103.8393,63
Mayflower Primary School,Government,Mixed,Ang Mo Kio,South,569878,1.3772,103.843,60
Mee Toh School,Government-aided,Mixed,Punggol,North,828867,1.3954,103.9088,180
Meridian Primary School,Government,Mixed,Pasir Ris,East,518798,1.3767,103.9356,42
Methodist Girls' School (Primary),Government-aided,Girls,Bukit Timah,West,599986,1.3336,103.7828,180
Montfort Junior School,Government-aided,Boys,Hougang,North,538786,1.3735,103.8881,29
Nan Chiau Primary School,Government-aided,Mixed,Sengkang,North,545080,1.3924,103.89,229
Nan Hua Primary School,"Government-aided, SAP",Mixed,Clementi,West,128806,1.3201,103.7612,214
Nanyang Primary School,"Government-aided, SAP",Mixed,Bukit Timah,West,268097,1.3203,103.8083,367
Ngee Ann Primary School,Government-aided,Mixed,Marine Parade,East,449149,1.3054,103.9171,152
Naval Base Primary School,Government,Mixed,Yishun,North,769028,1.4164,103.8395,62
New Town Primary School,Government,Mixed,Queenstown,South,148812,1.3,103.7989,58
Northland Primary School,Government,Mixed,Yishun,North,769026,1.4209,103.8411,186
Northoaks Primary School,Government,Mixed,Sembawang,North,757622,1.4566,103.8146,38
North Spring Primary School,Government,Mixed,Sengkang,North,545088,1.3877,103.9043,74
North View Primary School,Government,Mixed,Yishun,North,768960,1.4283,103.8486,74
North Vista Primary School,Government,Mixed,Sengkang,North,544974,1.383,103.8952,76
Oasis Primary School,Government,Mixed,Punggol,East,828716,1.4047712,103.8759471,63
Opera Estate Primary School,Government,Mixed,Bedok,East,458436,1.3191,103.9242,59
Palm View Primary School,Government,Mixed,Sengkang,North,544822,1.3836,103.8908,111
Park View Primary School,Government,Mixed,Pasir Ris,East,519524,1.3783,103.9387,37
Pasir Ris Primary School,Government,Mixed,Pasir Ris,East,518968,1.3722,103.9623,108
Paya Lebar Methodist Girls' School (Primary),Government-aided,Girls,Hougang,East,536741,1.3512,103.8847,168
Pei Chun Public School,"Government-aided, SAP",Mixed,Toa Payoh,South,319133,1.3332,103.8581,268
Pei Hwa Presbyterian Primary School,"Government-aided, SAP",Mixed,Bukit Timah,West,597610,1.3385,103.7767,232
Pei Tong Primary School,Government,Mixed,Clementi,South,129857,1.3168,103.7678,84
Peiying Primary School,Government,Mixed,Yishun,North,768687,1.4173,103.8306,69
Pioneer Primary School,Government,Mixed,Jurong West,West,649076,1.3491,103.6957,78
Poi Ching School,"Government-aided, SAP",Mixed,Tampines,East,529067,1.3585,103.9356,169
Princess Elizabeth Primary School,Government,Mixed,Bukit Batok,West,659163,1.3498,103.741,141
Punggol Cove Primary School,Government,Mixed,Punggol,East,828674,1.4122254,103.8985828,39
Punggol Green Primary School,Government,Mixed,Punggol,East,828772,1.4018,103.8992,104
Punggol Primary School,Government,Mixed,Hougang,South,538787,1.3782,103.8939,98
Punggol View Primary School,Government,Mixed,Punggol,East,828845,1.406,103.9048,123
Qifa Primary School,Government,Mixed,Clementi,West,128104,1.3119,103.7564,132
Qihua Primary School,Government,Mixed,Woodlands,North,738525,1.4426,103.7889,82
Queenstown Primary School,Government,Mixed,Queenstown,South,149303,1.2969,103.8081,77
Radin Mas Primary School,Government,Mixed,Bukit Merah,South,99840,1.2745,103.824,192
Raffles Girls' Primary School,Government,Girls,Bukit Timah,South,289072,1.3295,103.8058,157
Red Swastika School,"Government-aided, SAP",Mixed,Bedok,East,469719,1.3332,103.934,208
Riverside Primary School,Government,Mixed,Woodlands,North,737803,1.4469,103.8023,103
River Valley Primary School,Government,Mixed,Central,South,237993,1.293,103.8359,148
Rivervale Primary School,Government,Mixed,Sengkang,North,545092,1.3932,103.9041,111
Rosyth School,Government,Mixed,Serangoon,North,555855,1.3723,103.8748,269
Rulang Primary School,Government,Mixed,Jurong West,West,649295,1.346,103.719,215
Sembawang Primary School,Government,Mixed,Sembawang,North,757715,1.4447,103.8203,58
Sengkang Green Primary School,Government,Mixed,Sengkang,East,797636,1.3928,103.8757,136
Seng Kang Primary School,Government,Mixed,Sengkang,North,545166,1.39,103.8999,70
Shuqun Primary School,Government,Mixed,Jurong West,West,649332,1.3477,103.7206,147
Si Ling Primary School,Government,Mixed,Woodlands,North,739067,1.4325,103.7863,50
Singapore Chinese Girls' Primary School,Government-aided,Girls,Novena,North,309437,1.3207,103.8269,139
South View Primary School,Government,Mixed,Chua Chu Kang,West,689762,1.3812,103.7466,208
Springdale Primary School,Government,Mixed,Sengkang,East,544799,1.3955,103.8895,110
Stamford Primary School,Government,Mixed,Central,South,198423,1.3043,103.8574,38
St. Andrew's Junior School,Government-aided,Boys,Toa Payoh,South,359337,1.3316,103.8658,182
St. Anthony's Canossian Primary School,Government-aided,Girls,Bedok,East,469701,1.334,103.9412,88
St. Anthony's Primary School,Government-aided,Mixed,Bukit Batok,West,659401,1.3644881,103.7469731,152
St. Gabriel's Primary School,Government-aided,Boys,Serangoon,South,556742,1.3502,103.8614,69
St. Hilda's Primary School,Government-aided,Mixed,Tampines,East,529706,1.3493,103.9356,237
St. Joseph's Institution Junior,Government-aided,Boys,Novena,South,309331,1.3173,103.8452,183
St. Margaret's Primary School,Government-aided,Girls,Rochor,South,228091,1.3044,103.8462,113
St. Stephen's School,Government-aided,Boys,Bedok,East,455789,1.319,103.9168,87
Tampines North Primary School,Government,Mixed,Tampines,East,529565,1.36,103.9488,63
Tampines Primary School,Government,Mixed,Tampines,East,529426,1.3494,103.9452,100
Tanjong Katong Primary School,Government,Mixed,Marine Parade,East,437259,1.3056,103.8998,97
Tao Nan School,"Government-aided, SAP",Mixed,Marine Parade,East,449761,1.3053,103.9119,303
Teck Ghee Primary School,Government,Mixed,Ang Mo Kio,South,569299,1.3659,103.8505,122
Teck Whye Primary School,Government,Mixed,Chua Chu Kang,West,688261,1.3834,103.7546,48
Telok Kurau Primary School,Government,Mixed,Bedok,East,479239,1.3317,103.911,86
Temasek Primary School,Government,Mixed,Bedok,East,469300,1.3176,103.9451,191
Townsville Primary School,Government,Mixed,Ang Mo Kio,South,569730,1.3612,103.8538,53
Unity Primary School,Government,Mixed,Chua Chu Kang,West,688268,1.4028,103.7474,104
Waterway Primary School,Government,Mixed,Punggol,East,828802,1.3990541,103.9184708,25
Wellington Primary School,Government,Mixed,Sembawang,North,757702,1.4521,103.8219,105
West Grove Primary School,Government,Mixed,Jurong West,West,649223,1.3451,103.6996,129
West Spring Primary School,Government,Mixed,Bukit Panjang,West,679946,1.3888,103.7666,108
Westwood Primary School,Government,Mixed,Jurong West,West,649188,1.3481,103.7006,117
West View Primary School,Government,Mixed,Bukit Panjang,West,677742,1.384,103.7606,52
White Sands Primary School,Government,Mixed,Pasir Ris,East,519075,1.3645,103.9615,125
Woodgrove Primary School,Government,Mixed,Woodlands,North,738079,1.4325,103.7904,108
Woodlands Primary School,Government,Mixed,Woodlands,North,738853,1.4363,103.7916,112
Woodlands Ring Primary School,Government,Mixed,Woodlands,North,738240,1.4351,103.798,98
Xinghua Primary School,Government,Mixed,Hougang,South,538882,1.3581,103.8896,50
Xingnan Primary School,Government,Mixed,Jurong West,West,649036,1.3422,103.6877,117
Xinmin Primary School,Government,Mixed,Hougang,North,538784,1.3708,103.8828,120
Xishan Primary School,Government,Mixed,Yishun,North,768611,1.4335,103.8367,63
Yangzheng Primary School,Government,Mixed,Serangoon,South,556108,1.3493,103.8683,103
Yew Tee Primary School,Government,Mixed,Chua Chu Kang,West,689100,1.3968,103.7502,105
Yio Chu Kang Primary School,Government,Mixed,Hougang,North,538720,1.3772,103.8856,39
Yishun Primary School,Government,Mixed,Yishun,North,768679,1.4344,103.8338,79
Yu Neng Primary School,Government,Mixed,Bedok,East,469623,1.3337,103.9316,130
Yuhua Primary School,Government,Mixed,Jurong East,West,609558,1.3434,103.7409,62
Yumin Primary School,Government,Mixed,Tampines,East,529393,1.3515,103.9515,77
Zhangde Primary School,Government,Mixed,Bukit Merah,South,169485,1.2847,103.8261,112
Zhenghua Primary School,Government,Mixed,Bukit Panjang,West,679002,1.3808,103.7689,99
Zhonghua Primary School,Government,Mixed,Serangoon,South,556095,1.3589,103.8711,51
