Industry,Role,Minimum,Median,Maximum
Chemicals and Engineering,Chief Financial Officer,250,325,400
Chemicals and Engineering,Chief Operating Officer,300,350,400
Chemicals and Engineering,Chief Executive Officer,400,500,600
Chemicals and Engineering,Customer Service Officer,36,54,68
Chemicals and Engineering,Customer Service Manager,66,78,81
Chemicals and Engineering,Customer Service Lead,72,82,96
Chemicals and Engineering,Call Center Supervisor,42,57,66
Chemicals and Engineering,Aftersales Manager,72,82,84
Chemicals and Engineering,Automation Engineer,65,70,75
Chemicals and Engineering,Senior Automation Engineer,70,75,80
Chemicals and Engineering,Automation Manager,117,120,156
Chemicals and Engineering,Chemist,52,70,91
Chemicals and Engineering,R&D Engineer,65,70,75
Chemicals and Engineering,R&D Manager,104,130,156
Chemicals and Engineering,R&D Director,195,234,260
Chemicals and Engineering,Application / Technical Services Engineer,52,70,91
Chemicals and Engineering,Application / Technical Services Manager,91,110,156
Chemicals and Engineering,EHS Engineer,60,70,75
Chemicals and Engineering,EHS Manager,104,117,120
Chemicals and Engineering,EHS Director,195,220,286
Chemicals and Engineering,Maintenance Engineer,50,53,65
Chemicals and Engineering,Facilities Engineer,50,53,65
Chemicals and Engineering,Facilities Manager,90,100,120
Chemicals and Engineering,Field Service Engineer,50,53,65
Chemicals and Engineering,Field Service Manager,104,110,120
Chemicals and Engineering,Project Engineer,58,70,78
Chemicals and Engineering,Project Manager,84,104,117
Chemicals and Engineering,Project Director,120,200,260
Chemicals and Engineering,Chemical Engineer,58,65,70
Chemicals and Engineering,Electrical Engineer,58,65,70
Chemicals and Engineering,Mechanical Engineer,58,65,70
Chemicals and Engineering,Senior Engineer,71,80,97
Chemicals and Engineering,Engineering Manager,104,125,156
Chemicals and Engineering,Process Engineer,50,53,65
Chemicals and Engineering,Process Manager,104,110,120
Chemicals and Engineering,Operations Manager,104,130,156
Chemicals and Engineering,Operations Director,195,220,300
Chemicals and Engineering,Plant Manager,170,195,260
Chemicals and Engineering,Manufacturing Engineer,50,53,65
Chemicals and Engineering,Manufacturing Manager,104,110,120
Chemicals and Engineering,Regional Product Stewardship Manager,110,120,143
Chemicals and Engineering,Regional Regulatory Affairs Manager,110,120,143
Chemicals and Engineering,QA Engineer,50,53,65
Chemicals and Engineering,QA Manager,104,110,120
Chemicals and Engineering,QA Director,182,208,260
Chemicals and Engineering,Test Engineer,58,62,68
Chemicals and Engineering,Test Manager,104,123,143
Chemicals and Engineering,Application Engineer,65,71,91
Chemicals and Engineering,Application Manager,104,123,143
Chemicals and Engineering,Finance / Business Analyst,48,66,96
Chemicals and Engineering,Senior Finance / Business Analyst,66,85,100
Chemicals and Engineering,Financial Planning & Analysis (FP&A) Manager,95,115,130
Chemicals and Engineering,Financial Planning & Analysis (FP&A) Director,150,200,230
Chemicals and Engineering,Business Controller,104,156,210
Chemicals and Engineering,Pricing Manager,90,100,130
Chemicals and Engineering,Internal Auditor,54,60,75
Chemicals and Engineering,Senior Internal Auditor,72,85,100
Chemicals and Engineering,Internal Audit Manager,91,110,130
Chemicals and Engineering,Internal Audit Director,168,195,234
Chemicals and Engineering,Risk Governance and Compliance Manager,91,110,156
Chemicals and Engineering,Head of Risk Governance and Compliance,182,195,260
Chemicals and Engineering,Internal Control Manager,84,110,120
Chemicals and Engineering,Enterprise Risk Management Manager,91,110,169
Chemicals and Engineering,Accounts Administrator,30,33,36
Chemicals and Engineering,Accounts Executive,36,46,48
Chemicals and Engineering,"Accountant, Accounts Payable / Receivable",42,56,72
Chemicals and Engineering,"Manager, Accounts Payable / Receivable",84,91,120
Chemicals and Engineering,Credit Control Executive,36,46,60
Chemicals and Engineering,Credit Control Manager,80,110,135
Chemicals and Engineering,Payroll Executive,36,48,60
Chemicals and Engineering,Payroll Manager,84,100,140
Chemicals and Engineering,Cost Accountant,48,64,84
Chemicals and Engineering,Costing Manager,91,117,130
Chemicals and Engineering,Cost Controller,78,104,156
Chemicals and Engineering,Accountant,48,58,74
Chemicals and Engineering,Senior Accountant,66,74,84
Chemicals and Engineering,Finance Manager,85,100,120
Chemicals and Engineering,Senior Finance Manager,110,125,144
Chemicals and Engineering,Finance Controller,120,156,180
Chemicals and Engineering,Finance Director,170,200,250
Chemicals and Engineering,Head of Finance Operations / Head of Shared Services,169,240,260
Chemicals and Engineering,Chief Financial Officer,250,325,400
Chemicals and Engineering,Tax Analyst,48,70,85
Chemicals and Engineering,Senior Tax Analyst / Assistant Tax Manager,70,85,100
Chemicals and Engineering,Tax Manager,80,120,180
Chemicals and Engineering,Indirect Tax Manager,80,120,156
Chemicals and Engineering,Transfer Pricing Manager,90,120,156
Chemicals and Engineering,Head of Tax / Tax Director,180,210,250
Chemicals and Engineering,Treasury Analyst,48,60,72
Chemicals and Engineering,Senior Treasury Analyst,60,76,91
Chemicals and Engineering,Treasury Manager,91,120,156
Chemicals and Engineering,Head of Treasury / Treasury Director,182,195,260
Chemicals and Engineering,Systems Finance Manager,90,120,156
Chemicals and Engineering,Change Management Leader,90,156,195
Chemicals and Engineering,Finance Transformation Manager,130,180,230
Chemicals and Engineering,Mergers & Acquisitions (M&A) Analyst,72,80,110
Chemicals and Engineering,Mergers & Acquisitions (M&A) Manager,104,130,156
Chemicals and Engineering,Head of Mergers & Acquisitions (M&A),182,220,260
Chemicals and Engineering,C&B Specialist,60,72,84
Chemicals and Engineering,Senior C&B Analyst,85,95,100
Chemicals and Engineering,Assistant C&B Manager,90,100,110
Chemicals and Engineering,HRBP,80,100,120
Chemicals and Engineering,HRBP Lead,120,135,150
Chemicals and Engineering,HR Executive,48,60,70
Chemicals and Engineering,Assistant HR Manager,72,80,85
Chemicals and Engineering,HR Manager,90,100,120
Chemicals and Engineering,HR Director,160,200,240
Chemicals and Engineering,Recruiting Coordinator,48,60,70
Chemicals and Engineering,Talent Acquisition Specialist,48,60,70
Chemicals and Engineering,Director Talent Development,120,135,150
Chemicals and Engineering,Senior Training Executive,48,60,70
Chemicals and Engineering,Compliance Manager,90,100,140
Chemicals and Engineering,Senior Compliance Manager,130,155,180
Chemicals and Engineering,Head of Compliance,200,250,300
Chemicals and Engineering,Legal Advisor,91,98,105
Chemicals and Engineering,Legal Counsel,110,115,120
Chemicals and Engineering,Senior Legal Counsel,180,212,250
Chemicals and Engineering,General Counsel,230,280,330
Chemicals and Engineering,Marketing Communications Manager,80,105,130
Chemicals and Engineering,Marketing Communications Director,130,150,164
Chemicals and Engineering,Corporate Communications Manager,85,97,110
Chemicals and Engineering,Corporate Communications Director,200,250,295
Chemicals and Engineering,Digital Engineer,60,70,72
Chemicals and Engineering,Digital Marketing Manager,72,87,156
Chemicals and Engineering,Marketing Executive,36,55,75
Chemicals and Engineering,Marketing Manager,84,100,180
Chemicals and Engineering,Channel Marketing Manager,100,107,115
Chemicals and Engineering,Marketing Director,130,190,250
Chemicals and Engineering,Product Marketing Executive,65,70,75
Chemicals and Engineering,Product Marketing Manager,78,137,169
Chemicals and Engineering,Senior Product Marketing Manager,127,167,207
Chemicals and Engineering,Market Research Analyst,72,96,120
Chemicals and Engineering,Head of Marketing Insights and Analytics,150,165,180
Chemicals and Engineering,Assistant Partnerships Manager,60,75,90
Chemicals and Engineering,Head of Partnerships,150,175,200
Chemicals and Engineering,Logistics Executive,58,60,71
Chemicals and Engineering,Logistics Manager,91,120,140
Chemicals and Engineering,Regional Logistics Manager,130,143,195
Chemicals and Engineering,Regional Trade Compliance Manager,117,156,200
Chemicals and Engineering,Procurement Executive,58,60,71
Chemicals and Engineering,Commodity Manager,91,100,117
Chemicals and Engineering,Procurement Manager,91,100,117
Chemicals and Engineering,Indirect Procurement Manager,91,110,120
Chemicals and Engineering,Regional Commodity / Sourcing Manager,130,156,195
Chemicals and Engineering,Head of Commodity / Sourcing,182,234,270
Chemicals and Engineering,Supply / Demand Planner,58,65,71
Chemicals and Engineering,Regional Supply / Demand Planner,65,71,78
Chemicals and Engineering,Supply Chain Manager,104,117,130
Chemicals and Engineering,Regional Supply Chain Manager,117,144,182
Chemicals and Engineering,Supply Chain Director,195,260,320
Chemicals and Engineering,Inventory Manager,91,104,110
Chemicals and Engineering,Account Manager,60,80,100
Chemicals and Engineering,Senior Account Manager,100,120,140
Chemicals and Engineering,Key Account Manager,80,100,120
Chemicals and Engineering,Key Account Director,140,170,200
Chemicals and Engineering,Business Development Manager,70,95,120
Chemicals and Engineering,Regional Business Development Manager,80,110,140
Chemicals and Engineering,Senior Business Development Manager,100,130,160
Chemicals and Engineering,Business Development Director,130,175,220
Chemicals and Engineering,Product Manager,96,100,120
Chemicals and Engineering,Product Lead,150,175,240
Chemicals and Engineering,Inside Sales Executive,50,70,90
Chemicals and Engineering,Sales Executive,60,75,90
Chemicals and Engineering,Sales Manager,60,80,100
Chemicals and Engineering,Regional Sales Manager,80,100,120
Chemicals and Engineering,Territory Sales Manager,80,100,120
Chemicals and Engineering,Channel Sales Manager,90,135,180
Chemicals and Engineering,Sales Operations Manager,100,150,200
Chemicals and Engineering,Commercial Director,160,220,280
Chemicals and Engineering,Head of Sales,140,180,220
Chemicals and Engineering,Sales Director,150,200,250
Chemicals and Engineering,General Manager Sales,180,240,300
Chemicals and Engineering,Sales Engineer,60,80,100
Chemicals and Engineering,Senior Sales Engineer,70,95,120
Chemicals and Engineering,Junior Sales Support Executive,30,50,58
Chemicals and Engineering,Administrator,38,54,66
Chemicals and Engineering,Office Administrator,38,54,66
Chemicals and Engineering,Office Administration and Human Resources Support,38,60,66
Chemicals and Engineering,Resources Support,38,60,66
Chemicals and Engineering,Receptionist,30,48,58
Chemicals and Engineering,Administration Assistant,38,54,66
Chemicals and Engineering,Executive Assistant,72,100,134
Chemicals and Engineering,Personal Assistant,60,72,114
Chemicals and Engineering,Team Assistant,60,69,78
Chemicals and Engineering,Database Administrator,72,94,120
Chemicals and Engineering,Data Engineer,90,120,150
Chemicals and Engineering,Data Architect,120,140,180
Chemicals and Engineering,Data Scientist,90,110,150
Chemicals and Engineering,Lead Data Scientist,120,155,200
Chemicals and Engineering,Data Analytics Manager,90,115,150
Chemicals and Engineering,Business Intelligence (BI) Developer/ Analyst,78,86,96
Chemicals and Engineering,Digital Transformation Specialist,120,140,250
Chemicals and Engineering,Head of Digital,180,220,300
Chemicals and Engineering,Product Manager,120,140,180
Chemicals and Engineering,IT Project Manager,85,116,150
Chemicals and Engineering,IT Manager,90,115,150
Chemicals and Engineering,IT Business Partner,150,175,200
Chemicals and Engineering,Technology Lead,180,230,300
Chemicals and Engineering,Solution Delivery Manager,85,110,150
Chemicals and Engineering,Solution Architect,96,120,150
Chemicals and Engineering,Solution Architect (Software),96,120,150
Chemicals and Engineering,Cloud Architect,90,125,150
Chemicals and Engineering,Enterprise Architect,120,150,200
Chemicals and Engineering,ERP Specialist,80,112,150
Chemicals and Engineering,Business Analyst,100,110,120
Chemicals and Engineering,Head of ERP,120,150,200
Chemicals and Engineering,Software Engineer,48,84,120
Chemicals and Engineering,Senior Software Engineer,72,120,180
Chemicals and Engineering,Web Developer,54,70,90
Chemicals and Engineering,Back End Developer,72,89,108
Chemicals and Engineering,Full Stack Developer,72,89,108
Chemicals and Engineering,System Analyst,72,89,108
Chemicals and Engineering,Service Delivery Manager,120,135,150
Chemicals and Engineering,IT Support Engineer,36,48,50
Chemicals and Engineering,Senior IT Support Engineer,48,60,72
Chemicals and Engineering,Desktop Support Engineer,30,45,60
Chemicals and Engineering,Application Support Engineer,36,60,84
Chemicals and Engineering,Network Engineer,48,66,84
Chemicals and Engineering,System Administrator,48,60,72
Chemicals and Engineering,IT Security Analyst,70,90,120
Chemicals and Engineering,IT Security Manager,144,155,180
Chemicals and Engineering,IT Auditor,72,94,120
Chemicals and Engineering,System Test Engineer,40,52,60
Chemicals and Engineering,Software Tester,50,67,80
Chemicals and Engineering,Functional Test Engineer,60,77,90
Fast Moving Consumer Goods (FMCG),Chief Product Officer,250,277,300
Fast Moving Consumer Goods (FMCG),Chief Financial Officer,250,325,400
Fast Moving Consumer Goods (FMCG),Customer Service Officer,45,54,68
Fast Moving Consumer Goods (FMCG),Customer Service Manager,66,78,81
Fast Moving Consumer Goods (FMCG),Customer Service Lead,72,82,96
Fast Moving Consumer Goods (FMCG),Call Center Supervisor,42,57,66
Fast Moving Consumer Goods (FMCG),Aftersales Manager,72,82,84
Fast Moving Consumer Goods (FMCG),Automation Engineer,65,70,75
Fast Moving Consumer Goods (FMCG),Food Technologist,52,65,78
Fast Moving Consumer Goods (FMCG),Application Specialist,117,130,200
Fast Moving Consumer Goods (FMCG),Engineering Manager,104,125,156
Fast Moving Consumer Goods (FMCG),Automation Manager,117,120,156
Fast Moving Consumer Goods (FMCG),"Environment, Health and Safety (EHS) Manager",104,117,120
Fast Moving Consumer Goods (FMCG),"Regional Environment, Health and Safety (EHS) Manager",160,180,200
Fast Moving Consumer Goods (FMCG),Facilities Manager,90,100,120
Fast Moving Consumer Goods (FMCG),Operations Manager,104,130,156
Fast Moving Consumer Goods (FMCG),Plant Manager,170,195,260
Fast Moving Consumer Goods (FMCG),Regional Operations Manager,195,220,300
Fast Moving Consumer Goods (FMCG),Manufacturing Manager,104,110,120
Fast Moving Consumer Goods (FMCG),Quality Assurance (QA) Manager,104,110,120
Fast Moving Consumer Goods (FMCG),Quality Assurance (QA) Director,182,208,260
Fast Moving Consumer Goods (FMCG),Regional Regulatory Affairs (RA) Manager,110,120,143
Fast Moving Consumer Goods (FMCG),Finance / Business Analyst,48,66,96
Fast Moving Consumer Goods (FMCG),Senior Finance / Business Analyst,66,85,100
Fast Moving Consumer Goods (FMCG),Financial Planning & Analysis (FP&A) Manager,95,115,130
Fast Moving Consumer Goods (FMCG),Financial Planning & Analysis (FP&A) Director,150,200,230
Fast Moving Consumer Goods (FMCG),Business Controller,104,156,210
Fast Moving Consumer Goods (FMCG),Pricing Manager,90,100,130
Fast Moving Consumer Goods (FMCG),Internal Auditor,54,60,75
Fast Moving Consumer Goods (FMCG),Senior Internal Auditor,72,85,100
Fast Moving Consumer Goods (FMCG),Internal Audit Manager,91,110,130
Fast Moving Consumer Goods (FMCG),Internal Audit Director,168,195,234
Fast Moving Consumer Goods (FMCG),Risk Governance and Compliance Manager,91,110,156
Fast Moving Consumer Goods (FMCG),Enterprise Risk Management Manager,91,110,169
Fast Moving Consumer Goods (FMCG),Head of Risk Governance and Compliance,182,195,260
Fast Moving Consumer Goods (FMCG),Internal Control Manager,84,110,120
Fast Moving Consumer Goods (FMCG),Accounts Administrator,30,33,36
Fast Moving Consumer Goods (FMCG),Accounts Executive,36,46,48
Fast Moving Consumer Goods (FMCG),"Accountant, Accounts Payable / Receivable",42,56,72
Fast Moving Consumer Goods (FMCG),"Manager, Accounts Payable / Receivable",84,91,120
Fast Moving Consumer Goods (FMCG),Credit Control Executive,36,46,60
Fast Moving Consumer Goods (FMCG),Credit Control Manager,80,110,135
Fast Moving Consumer Goods (FMCG),Payroll Executive,36,48,60
Fast Moving Consumer Goods (FMCG),Payroll Manager,84,100,140
Fast Moving Consumer Goods (FMCG),Cost Accountant,48,64,84
Fast Moving Consumer Goods (FMCG),Costing Manager,91,117,130
Fast Moving Consumer Goods (FMCG),Cost Controller,78,104,156
Fast Moving Consumer Goods (FMCG),Revenue Accountant,60,105,108
Fast Moving Consumer Goods (FMCG),Revenue Manager,91,102,130
Fast Moving Consumer Goods (FMCG),Accountant,48,58,74
Fast Moving Consumer Goods (FMCG),Senior Accountant,66,74,84
Fast Moving Consumer Goods (FMCG),Finance Manager,85,100,120
Fast Moving Consumer Goods (FMCG),Senior Finance Manager,110,125,144
Fast Moving Consumer Goods (FMCG),Finance Controller,120,156,180
Fast Moving Consumer Goods (FMCG),Finance Director,170,200,250
Fast Moving Consumer Goods (FMCG),Head of Finance Operations / Shared Services,169,240,260
Fast Moving Consumer Goods (FMCG),Chief Financial Officer,250,325,400
Fast Moving Consumer Goods (FMCG),Tax Analyst,48,70,85
Fast Moving Consumer Goods (FMCG),Senior Tax Analyst / Assistant Tax Manager,70,85,100
Fast Moving Consumer Goods (FMCG),Tax Manager,80,120,180
Fast Moving Consumer Goods (FMCG),Indirect Tax Manager,80,120,156
Fast Moving Consumer Goods (FMCG),Transfer Pricing Manager,90,120,156
Fast Moving Consumer Goods (FMCG),Head of Tax / Tax Director,180,210,250
Fast Moving Consumer Goods (FMCG),Treasury Analyst,48,60,72
Fast Moving Consumer Goods (FMCG),Senior Treasury Analyst,60,76,91
Fast Moving Consumer Goods (FMCG),Treasury Manager,91,120,156
Fast Moving Consumer Goods (FMCG),Head of Treasury / Treasury Director,182,195,260
Fast Moving Consumer Goods (FMCG),Systems Finance Manager,90,120,156
Fast Moving Consumer Goods (FMCG),Change Management Leader,90,156,195
Fast Moving Consumer Goods (FMCG),Finance Transformation Manager,130,180,230
Fast Moving Consumer Goods (FMCG),Mergers & Acquisitions (M&A) Analyst,72,80,110
Fast Moving Consumer Goods (FMCG),Mergers & Acquisitions (M&A) Manager,104,130,156
Fast Moving Consumer Goods (FMCG),Head of Mergers & Acquisitions (M&A) /,182,220,260
Fast Moving Consumer Goods (FMCG),C&B Specialist,60,72,84
Fast Moving Consumer Goods (FMCG),Senior C&B Analyst,85,95,100
Fast Moving Consumer Goods (FMCG),C&B Manager,100,120,140
Fast Moving Consumer Goods (FMCG),HRBP,80,100,120
Fast Moving Consumer Goods (FMCG),HRBP Lead,120,135,150
Fast Moving Consumer Goods (FMCG),HR Executive,48,60,70
Fast Moving Consumer Goods (FMCG),Assistant HR Manager,72,80,85
Fast Moving Consumer Goods (FMCG),HR Manager,90,100,120
Fast Moving Consumer Goods (FMCG),HR Director,160,200,240
Fast Moving Consumer Goods (FMCG),Recruiting Coordinator,40,55,65
Fast Moving Consumer Goods (FMCG),Talent Acquisition Specialist,48,60,70
Fast Moving Consumer Goods (FMCG),Senior Training Executive,48,60,70
Fast Moving Consumer Goods (FMCG),Director Talent Development,120,135,150
Fast Moving Consumer Goods (FMCG),Compliance Manager,100,120,140
Fast Moving Consumer Goods (FMCG),Senior Compliance Manager,150,165,180
Fast Moving Consumer Goods (FMCG),Head of Compliance,220,260,300
Fast Moving Consumer Goods (FMCG),Legal Advisor,91,98,105
Fast Moving Consumer Goods (FMCG),Legal Counsel,110,115,120
Fast Moving Consumer Goods (FMCG),Senior Legal Counsel,180,212,250
Fast Moving Consumer Goods (FMCG),General Counsel,230,280,330
Fast Moving Consumer Goods (FMCG),Brand Executive,42,48,54
Fast Moving Consumer Goods (FMCG),Assistant Brand Manager,45,60,75
Fast Moving Consumer Goods (FMCG),Brand Manager,60,78,96
Fast Moving Consumer Goods (FMCG),Senior Brand Manager,90,111,132
Fast Moving Consumer Goods (FMCG),Digital Marketing Executive,50,60,70
Fast Moving Consumer Goods (FMCG),Digital Marketing Specialist,72,105,140
Fast Moving Consumer Goods (FMCG),Digital Marketing Manager,108,128,144
Fast Moving Consumer Goods (FMCG),Digital Content Manager,112,120,132
Fast Moving Consumer Goods (FMCG),Digital Project Manager,72,82,84
Fast Moving Consumer Goods (FMCG),E-commerce Data Analyst,50,82,110
Fast Moving Consumer Goods (FMCG),Senior E-commerce Executive,65,75,80
Fast Moving Consumer Goods (FMCG),E-commerce Manager,78,109,168
Fast Moving Consumer Goods (FMCG),Head of E-commerce,150,200,250
Fast Moving Consumer Goods (FMCG),Assistant Communications Manager,36,46,48
Fast Moving Consumer Goods (FMCG),Senior Marketing Executive,42,51,60
Fast Moving Consumer Goods (FMCG),Assistant Marketing Manager,48,60,72
Fast Moving Consumer Goods (FMCG),Marketing Manager,78,89,108
Fast Moving Consumer Goods (FMCG),Head of Marketing,120,156,192
Fast Moving Consumer Goods (FMCG),Assistant Channel Marketing Manager,75,87,100
Fast Moving Consumer Goods (FMCG),Channel Marketing Manager,80,106,132
Fast Moving Consumer Goods (FMCG),Trade Marketing Executive,42,47,54
Fast Moving Consumer Goods (FMCG),Assistant Trade Marketing Manager,66,78,91
Fast Moving Consumer Goods (FMCG),Product Marketing Executive,45,57,65
Fast Moving Consumer Goods (FMCG),Product Marketing Manager,60,71,78
Fast Moving Consumer Goods (FMCG),Logistics Coordinator,48,55,60
Fast Moving Consumer Goods (FMCG),Logistics Executive,30,35,38
Fast Moving Consumer Goods (FMCG),Senior Logistics Executive,48,53,54
Fast Moving Consumer Goods (FMCG),Assistant Logistics Manager,48,60,72
Fast Moving Consumer Goods (FMCG),Logistics Manager,79,94,102
Fast Moving Consumer Goods (FMCG),Logistics Director,144,187,220
Fast Moving Consumer Goods (FMCG),Operations Executive,36,41,48
Fast Moving Consumer Goods (FMCG),Operations Manager,84,88,150
Fast Moving Consumer Goods (FMCG),Operations Director,180,198,216
Fast Moving Consumer Goods (FMCG),Order Management Specialist,36,48,60
Fast Moving Consumer Goods (FMCG),Supply Chain Project Executive,42,54,60
Fast Moving Consumer Goods (FMCG),Export Specialist,60,67,72
Fast Moving Consumer Goods (FMCG),Commodity Specialist,54,61,66
Fast Moving Consumer Goods (FMCG),Commodity Manager,96,121,144
Fast Moving Consumer Goods (FMCG),Procurement Executive,72,93,120
Fast Moving Consumer Goods (FMCG),Senior Procurement Executive,73,96,130
Fast Moving Consumer Goods (FMCG),Procurement Analyst,48,53,54
Fast Moving Consumer Goods (FMCG),Assistant Procurement Manager,60,70,78
Fast Moving Consumer Goods (FMCG),Procurement Manager,78,98,120
Fast Moving Consumer Goods (FMCG),Head of Procurement,96,112,140
Fast Moving Consumer Goods (FMCG),Director Procurement and Supply Chain,200,250,300
Fast Moving Consumer Goods (FMCG),Indirect Procurement Manager,72,80,96
Fast Moving Consumer Goods (FMCG),Supply Chain Executive,36,41,42
Fast Moving Consumer Goods (FMCG),Supply Chain Coordinator,39,44,45
Fast Moving Consumer Goods (FMCG),Supply Chain Manager,60,75,91
Fast Moving Consumer Goods (FMCG),Vice President Supply Chain and Operations,204,224,240
Fast Moving Consumer Goods (FMCG),Supply Chain Planner,48,51,54
Fast Moving Consumer Goods (FMCG),Senior Supply Chain Planner,60,65,70
Fast Moving Consumer Goods (FMCG),Supply Chain Planning Manager,84,109,132
Fast Moving Consumer Goods (FMCG),Inventory Controller,36,46,48
Fast Moving Consumer Goods (FMCG),Assistant Supply Planning Manager,72,90,108
Fast Moving Consumer Goods (FMCG),Assistant Demand Planning Manager,72,90,108
Fast Moving Consumer Goods (FMCG),Account Manager,60,75,90
Fast Moving Consumer Goods (FMCG),Key Account Executive,36,46,55
Fast Moving Consumer Goods (FMCG),Assistant Key Account Manager,42,45,72
Fast Moving Consumer Goods (FMCG),Key Account Manager,55,70,85
