vaccinations,public_rate,chas_green,merdeka_generation_chas_blue_orange,pioneer_generation,description
Flu Jab (Influvac Tetra),$48.15,$12.00,$0.00,$0.00,"ADULT | CHILDREN ABOVE 6 MONTHS OLD INFLUVAC TETRA is indicated for active immunisation of adults and children from 6 months of age for the prevention of influenza disease caused by the two influenza A virus subtypes and the two influenza B virus types contained in the vaccine.
Important to note: The flu vaccine may contain egg protein and is not suitable for individuals who are allergic to it."
Prevnar 13,$200.05,$63.00,$31.00,$16.00,"ADULT | CHILDREN ABOVE 4 MONTHS OLDPrevnar 13 ® (Pneumococcal 13-valent Conjugate Vaccine [Diphtheria CRM 197 Protein ]) is a vaccine approved for adults 18 years of age and older for the prevention of pneumococcal pneumonia and invasive disease caused by 13 Streptococcus pneumoniae strains (1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F)."
Pneumovax 23,$93.05,$40.00,$20.00,$10.00,"ADULT | CHILDREN ABOVE 2 YEARS OLDPNEUMOVAX 23 is a vaccine indicated for active immunization for the prevention of pneumococcal disease caused by the 23 serotypes contained in the vaccine (1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19F, 19A, 20, 22F, 23F, and 33F)"
Boostrix,$58.85,$15.00,$0.00,$0.00,"ADULTBOOSTRIX is a vaccine indicated for active booster immunization against tetanus, diphtheria, and pertussis (whooping cough)."
Hepatitis B (Engerix B Adult),$55.64,$17.00,$0.00,$0.00,"ADULTRequires 3 doses, 0, 1, 6 mth intervals. No. of doses required depends on blood test results.
ENGERIX-B is a vaccine indicated for immunization against infection caused by all known subtypes of hepatitis B virus."
"Mmr-II Measles,Mumps,Rubella",$70.00,$35.00,$18.00,$9.00,"ADULT | CHILDREN ABOVE 15 MONTHS OLDM-M-R® II is a vaccine indicated for active immunization for the prevention of measles, mumps, and rubella in individuals 12 months of age and older."
Infanrix IPV/HIB (5-in-1),$107.00,N.A,N.A,N.A,"CHILDREN ABOVE 4 MONTHS OLD
INFANRIX – IPV + Hib is indicated for active immunisation against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease from the age of 2 months."
Infanrix Hexa (6-in-1),$128.40,N.A,N.A,N.A,"CHILDREN ABOVE 2 MONTHS OLD
The active ingredients of INFANRIX hexa are non-infectious substances from tetanus, diphtheria bacteria, purified proteins of pertussis bacteria, the surface protein of the hepatitis B virus (HBsAg, derived from genetically engineered yeast cells) and inactivated poliovirus."
Chicken Pox (Varivax),$96.30,$45.00,$23.00,$11.00,ADULT | CHILDREN ABOVE 12 MONTHS OLDVARIVAX is a vaccine indicated for active immunization for the prevention of varicella in individuals 12 months of age or older. Each dose is approximately 0.5 mL after reconstitution and is administered by subcutaneous injection.
Hepatitis A (Paed 720),$107.00,N.A,N.A,N.A,"CHILDREN ABOVE 12 MONTHS TO 12 YEARS OLDRequires 2 doses, 6 mth intervals.
Vaccination with hepatitis A pediatric vaccine is recommended for all children who are 12 months of age or older. This vaccine is also recommended in children who travel to certain areas of the world where hepatitis A is a common disease."
Hepatitis A (Havrix 1440),$114.49,$114.49,$114.49,$114.49,"ADULTRequires 2 doses, 6 mth intervals.
Hepatitis A vaccine (Havrix, Vaqta) is used to prevent hepatitis A, a type of liver disease that is caused by the hepatitis A virus (HAV). Hepatitis A is usually spread when a person ingests fecal matter from contact with food, drinks, or objects which have been contaminated by feces or stool of an HAV-infected person."
Twinrix,$128.40,$128.40,$128.40,$128.40,"ADULTRequires 3 doses, 0, 1, 6 mth intervals.TWINRIX is the only dual hepatitis A and B vaccine . It’s given as a series of doses (injections) by a healthcare professional. TWINRIX is used in adults, adolescents, children, and infants to prevent hepatitis A and hepatitis B diseases."
Tetanus Jab (Tetavax),$32.10,$32.10,$32.10,$32.10,ADULTThis vaccine is an anti-infectious medicinal product indicated in the prevention of tetanus.
Zostavax,$304.95,$304.95,$304.95,$304.95,"ADULTZOSTAVAX is a vaccine used to prevent shingles (zoster) and zoster-related post-herpetic neuralgia (PHN),
the long-lasting nerve pain that follows shingles."
Gardasil 9,$224.70,$224.70,$224.70,$224.70,"ADULT | CHILDREN ABOVE 14 YEARS OLDRequires 3 doses, 0, 2, 6 mth intervals.
GARDASIL 9 is a vaccine indicated in females 9 through 45 years of age for the prevention of cervical, vulvar, vaginal, anal, oropharyngeal and other head and neck cancers caused by human papillomavirus (HPV) Types 16, 18, 31, 33, 45, 52, and 58; cervical, vulvar, vaginal, and anal precancerous or dysplastic lesions caused by HPV Types 6, 11, 16, 18, 31, 33, 45, 52, and 58; and genital warts caused by HPV Types 6 and 11.
GARDASIL 9 is indicated in males 9 through 45 years of age for the prevention of anal, oropharyngeal and other head and neck cancers caused by HPV Types 16, 18, 31, 33, 45, 52, and 58; anal precancerous or dysplastic lesions caused by HPV Types 6, 11, 16, 18, 31, 33, 45, 52, and 58; and genital warts caused by HPV Types 6 and 11."
Rotarix,$141.24,$141.24,$141.24,$141.24,"INFANTS BETWEEN 6-24 WEEKS OLDRotarix (rotavirus) Vaccine, Live Oral Suspension is a “live” vaccine used to help prevent rotavirus disease in children. The risk of serious side effects of Rotarix vaccine is extremely low. Becoming infected with rotavirus is much more dangerous to your child’s health than receiving of Rotarix vaccine."
Dengue Fever (Dengvaxia),$160.50,$160.50,$160.50,$160.50,"ADULT | CHILDREN ABOVE 12 YEARS OLDRequires 3 doses, 0, 6, 12 mth intervals.Dengvaxia is a vaccine used to help protect against dengue disease. Dengue disease is a mosquito-borne tropical disease caused by the dengue virus leading to mild, flu-like symptoms in most people."
